"Cod_IBGE","Grande região","Município","Mun_Total de casos","Mun_Total de óbitos"
"3510906","Interior","Cássia dos Coqueiros","253","1"
"3511003","Interior","Castilho","3298","96"
"3511102","Interior","Catanduva","19699","666"
"3511201","Interior","Catiguá","911","40"
"3511300","Interior","Cedral","1862","35"
"3511409","Interior","Cerqueira César","2330","57"
"3511508","Interior","Cerquilho","10154","166"
"3511607","Interior","Cesário Lange","3972","72"
"3511706","Interior","Charqueada","2020","48"
"3511904","Interior","Clementina","970","22"
"3512001","Interior","Colina","1774","72"
"3512100","Interior","Colômbia","695","15"
"3512209","Interior","Conchal","4025","86"
"3512308","Interior","Conchas","2926","78"
"3512407","Interior","Cordeirópolis","5938","106"
"3512506","Interior","Coroados","1351","22"
"3512605","Interior","Coronel Macedo","668","27"
"3512704","Interior","Corumbataí","684","7"
"3512803","Interior","Cosmópolis","7962","182"
"3512902","Interior","Cosmorama","850","43"
"3513108","Interior","Cravinhos","2225","103"
"3513207","Interior","Cristais Paulista","1295","17"
"3513306","Interior","Cruzália","205","6"
"3513405","Interior","Cruzeiro","6766","106"
"3513504","Interior","Cubatão","14797","523"
"3513603","Interior","Cunha","883","16"
"3513702","Interior","Descalvado","5021","93"
"3513850","Interior","Dirce Reis","300","5"
"3513900","Interior","Divinolândia","1509","48"
"3514007","Interior","Dobrada","623","11"
"3514106","Interior","Dois Córregos","1989","43"
"3514205","Interior","Dolcinópolis","296","7"
"3514304","Interior","Dourado","1399","21"
"3514403","Interior","Dracena","7414","276"
"3514502","Interior","Duartina","1357","30"
"3514601","Interior","Dumont","1948","24"
"3514700","Interior","Echaporã","809","26"
"3514809","Interior","Eldorado","2199","27"
"3514908","Interior","Elias Fausto","1949","36"
"3514924","Interior","Elisiário","627","10"
"3514957","Interior","Embaúba","124","10"
"3515129","Interior","Emilianópolis","512","9"
"3515152","Interior","Engenheiro Coelho","2715","60"
"3515186","Interior","Espírito Santo do Pinhal","6878","121"
"3515194","Interior","Espírito Santo do Turvo","479","10"
"3515202","Interior","Estrela d'Oeste","2454","34"
"3515301","Interior","Estrela do Norte","383","6"
"3515350","Interior","Euclides da Cunha Paulista","512","16"
"3515400","Interior","Fartura","2532","52"
"3515509","Interior","Fernandópolis","13143","381"
"3515608","Interior","Fernando Prestes","1200","13"
"3515657","Interior","Fernão","312","2"
"3515806","Interior","Flora Rica","134","7"
"3515905","Interior","Floreal","511","7"
"3516002","Interior","Flórida Paulista","2079","36"
"3516101","Interior","Florínea","431","13"
"3516200","Interior","Franca","38505","1011"
"3516507","Interior","Gabriel Monteiro","706","6"
"3516606","Interior","Gália","609","19"
"3516705","Interior","Garça","5833","151"
"3516804","Interior","Gastão Vidigal","288","17"
"3516853","Interior","Gavião Peixoto","1521","23"
"3516903","Interior","General Salgado","1341","47"
"3517000","Interior","Getulina","1098","36"
"3517109","Interior","Glicério","690","21"
"3517208","Interior","Guaiçara","1437","28"
"3517307","Interior","Guaimbê","825","9"
"3517406","Interior","Guaíra","6449","226"
"3517505","Interior","Guapiaçu","2271","84"
"3517604","Interior","Guapiara","2388","87"
"3517703","Interior","Guará","3282","108"
"3517802","Interior","Guaraçaí","1036","28"
"3517901","Interior","Guaraci","1728","30"
"3518008","Interior","Guarani d'Oeste","527","7"
"3518107","Interior","Guarantã","295","21"
"3518206","Interior","Guararapes","6861","119"
"3518404","Interior","Guaratinguetá","14595","333"
"3518503","Interior","Guareí","3596","34"
"3518602","Interior","Guariba","4262","117"
"3518701","Interior","Guarujá","22621","1384"
"3518859","Interior","Guatapará","502","25"
"3518909","Interior","Guzolândia","671","31"
"3519006","Interior","Herculândia","1183","28"
"3519055","Interior","Holambra","3141","18"
"3519071","Interior","Hortolândia","27032","812"
"3519105","Interior","Iacanga","1746","31"
"3519204","Interior","Iacri","1109","17"
"3519253","Interior","Iaras","293","21"
"3519303","Interior","Ibaté","4736","106"
"3519402","Interior","Ibirá","2132","45"
"3519501","Interior","Ibirarema","989","35"
"3519600","Interior","Ibitinga","10452","291"
"3519709","Interior","Ibiúna","5252","148"
"3519808","Interior","Icém","1369","32"
"3519907","Interior","Iepê","1385","29"
"3520004","Interior","Igaraçu do Tietê","3071","71"
"3520103","Interior","Igarapava","1393","100"
"3520202","Interior","Igaratá","2249","38"
"3520301","Interior","Iguape","3425","117"
"3520400","Interior","Ilhabela","7436","43"
"3520426","Interior","Ilha Comprida","2470","61"
"3520442","Interior","Ilha Solteira","3884","108"
"3520509","Interior","Indaiatuba","27607","769"
"3520608","Interior","Indiana","262","11"
"3520707","Interior","Indiaporã","880","14"
"3520806","Interior","Inúbia Paulista","903","17"
"3520905","Interior","Ipaussu","3482","52"
"3521002","Interior","Iperó","4417","66"
"3521101","Interior","Ipeúna","767","23"
"3521150","Interior","Ipiguá","1474","31"
"3521200","Interior","Iporanga","684","7"
"3521309","Interior","Ipuã","2522","67"
"3521408","Interior","Iracemápolis","5249","103"
"3521507","Interior","Irapuã","1024","30"
"3521606","Interior","Irapuru","976","38"
"3521705","Interior","Itaberá","2929","70"
"3521804","Interior","Itaí","3097","80"
"3521903","Interior","Itajobi","3568","65"
"3522000","Interior","Itaju","833","8"
"3522109","Interior","Itanhaém","7173","371"
"3522158","Interior","Itaoca","285","8"
"3522307","Interior","Itapetininga","18044","579"
"3522406","Interior","Itapeva","13268","442"
"3522604","Interior","Itapira","10315","330"
"3522653","Interior","Itapirapuã Paulista","692","4"
"3522703","Interior","Itápolis","9883","171"
"3522802","Interior","Itaporanga","2166","55"
"3522901","Interior","Itapuí","1756","43"
"3523008","Interior","Itapura","551","15"
"3523206","Interior","Itararé","8623","263"
"3523305","Interior","Itariri","1721","48"
"3523404","Interior","Itatiba","15987","234"
"3523503","Interior","Itatinga","3760","61"
"3523602","Interior","Itirapina","2074","40"
"3523701","Interior","Itirapuã","324","8"
"3523800","Interior","Itobi","869","22"
"3523909","Interior","Itu","25012","552"
"3524006","Interior","Itupeva","7572","158"
"3524105","Interior","Ituverava","3042","159"
"3524204","Interior","Jaborandi","580","24"
"3524303","Interior","Jaboticabal","7862","196"
"3524402","Interior","Jacareí","27439","826"
"3524501","Interior","Jaci","1375","31"
"3524600","Interior","Jacupiranga","1905","57"
"3524709","Interior","Jaguariúna","7792","152"
"3524808","Interior","Jales","9715","281"
"3524907","Interior","Jambeiro","474","17"
"3525102","Interior","Jardinópolis","4285","155"
"3525201","Interior","Jarinu","3204","82"
"3525300","Interior","Jaú","14552","581"
"3525409","Interior","Jeriquara","363","3"
"3525508","Interior","Joanópolis","1354","11"
"3525607","Interior","João Ramalho","973","12"
"3525706","Interior","José Bonifácio","6165","156"
"3525805","Interior","Júlio Mesquita","346","14"
"3525854","Interior","Jumirim","596","8"
"3525904","Interior","Jundiaí","61673","1703"
"3526001","Interior","Junqueirópolis","2991","97"
"3526100","Interior","Juquiá","2651","65"
"3526308","Interior","Lagoinha","245","16"
"3526407","Interior","Laranjal Paulista","5175","126"
"3526506","Interior","Lavínia","1240","17"
"3526605","Interior","Lavrinhas","343","5"
"3526704","Interior","Leme","14589","442"
"3526803","Interior","Lençóis Paulista","17094","193"
"3526902","Interior","Limeira","30062","1217"
"3527009","Interior","Lindóia","1504","19"
"3527108","Interior","Lins","9816","315"
"3527207","Interior","Lorena","5620","159"
"3527256","Interior","Lourdes","299","6"
"3527306","Interior","Louveira","5933","115"
"3527405","Interior","Lucélia","2404","67"
"3527504","Interior","Lucianópolis","348","6"
"3527603","Interior","Luís Antônio","2661","37"
"3527702","Interior","Luiziânia","308","13"
"3527801","Interior","Lupércio","270","8"
"3527900","Interior","Lutécia","490","8"
"3528007","Interior","Macatuba","4199","61"
"3528106","Interior","Macaubal","1550","21"
"3528205","Interior","Macedônia","719","27"
"3528304","Interior","Magda","450","10"
"3528403","Interior","Mairinque","4680","76"
"3528601","Interior","Manduri","999","27"
"3528700","Interior","Marabá Paulista","304","5"
"3528809","Interior","Maracaí","2622","51"
"3528858","Interior","Marapoama","763","15"
"3528908","Interior","Mariápolis","662","11"
